PCH_LPC_DID,string,D301,D301,D301,D301,D301,D301,D301,D301,D301,D303,D301,D301,D301,D301,D303
PCD_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
PCD_DIE_CONFIG,string,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H
parentId_Desc,string,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product,Nova Lake H Product
parentId,string,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A,1000024607A
OSSEODCACRT_KeyTypeID,string,4625,4625,4625,4625,4625,4625,4625,4625,4625,4627,4625,4625,4625,4625,4626
OSSEODCA_KEYTYPEID,string,4625,4625,4625,4625,4625,4625,4625,4625,4625,4627,4625,4625,4625,4625,4626
OC_BINS,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUMBER_OF_SLICES,string,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6
netWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
NATURAL_FLOAT_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
MM-TRADEMARK,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MM-SPEED-UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MM-SPEED-TYPE,string,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK
MM-SPEED,string,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
MM-SPEC-NUMBER,string,AE6,2NQ,2O0,2NZ,2NU,AEW,2NP,2NT,2O8,2NW,AE5,2O1,2NY,AE9,2NX
MM-SPEC-CODE,string,Q,L,L,L,L,Q,L,L,L,L,Q,L,L,Q,L
MM-SHIP-MED,string,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY
MM-ROYALTY,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MM-REV,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM-PROD-VISIBILITY,string,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
MM-PROD-CAT-IC,string,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU
MM-PINCOUNT,string,2540,2540,2540,2540,2540,2540,2540,2540,2540,2540,2540,2540,2540,2540,2540
MM-PACKAGE-MKT-DESIGNATOR,string,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC
