TOTAL_MEMORY_ENCRYPTION_IND,string,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS
TIME_COORD_COMP,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THUNDERBOLT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
THUNDERBOLT_GEN,string,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5
THERMAL_TURBO_TEMP_UOM,string,C,C,C,C,C,C,C,C
THERMAL_TURBO_TEMP,string,70,70,70,70,70,70,70,70
THERMAL_TURBO,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_THROTTLE_UNLOCK,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_DESIGN_POWER_UOM,string,W,W,W,W,W,W,W,W
THERMAL_DESIGN_POWER,string,150,150,150,150,150,150,150,150
TDX_INDICATOR,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
TCONTROL,string,20,20,20,20,20,20,20,20
SUB_VERTICAL_SEGMENT,string,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST,ENTHUSIAST
STANDARD_MANAGEABILITY,string,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled,Enabled
SPIRAL_KEYTYPEID,string,0,0,0,0,0,0,0,0
SMALL_CORE_SPEED,string,1.4,1.2,0.9,1.2,1.4,1.2,1.4,0.9
SMALL_CORE_MAX_TURBO_FREQ_RATE,string,2.8,3,3.2,3,2.8,3,2.8,3.2
SECONDARY_BIOS_REGION,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
RING_TFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_TFM_FREQ,string,3.1,3.3,3.7,3.3,3.1,3.3,3.1,3.7
RING_LFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_LFM_FREQ,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
RING_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_HFM_FREQ,string,1.8,1.6,1.3,1.6,1.8,1.6,1.8,1.3
qdfSspec,string,L1BH,L1BC,L2FU,L1BD,L1BG,L1BE,L1BF,L1BB
PS-STEP,string,A,A,A,A,A,A,A,A
PS-PACKAGE-TECHNOLOGY,string,FCLGA20W,FCLGA20W,FCLGA20W,FCLGA20W,FCLGA20W,FCLGA20W,FCLGA20W,FCLGA20W
PS_VERTICAL_SEGMENT,string,DT,DT,DT,DT,DT,DT,DT,DT
PS_EXTERNAL_STEP,string,A,A,A,A,A,A,A,A
PROTECT_AUDIO_VIDEO_PATH,string,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG
PROCESSOR_LP_ECORE_PHYS_QTY,string,4,4,4,4,4,4,4,4
PROCESSOR_LP_ECORE_FUNC_QTY,string,4,4,4,4,4,4,4,4
primaryContact,string,10710833,10710833,10710833,10710833,10710833,10710833,10710833,10710833
PLATFORM_ID,string,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1
PHYSICAL_SMALL_CORE,string,32,32,32,32,32,32,32,32
PHYSICAL_CORE,string,52,52,52,52,52,52,52,52
PHYSICAL_BIG_CORE,string,16,16,16,16,16,16,16,16
PEG_SPD_UNLOCK_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
PEG_CONFIGURATION,string,"x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5","x16 PCIe5 (x16, x8x8, x8x4x4, x4x4x4x4),x4 PCIe5,x4 PCIe5"
PD_INDEX,string,2,2,1,2,2,2,2,1
PCSR_BASE_CD,string,80777,80777,80777,80777,80777,80777,80777,80777
PCH_LPC_DID,string,0,0,0,0,0,0,0,0
PCD_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0
PCD_DIE_CONFIG,string,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S,NVL_PCD_S
parentId_Desc,string,Nova Lake S 52C Int Product,Nova Lake S 52C Int Product,Nova Lake S 52C Int Product,Nova Lake S 52C Int Product,Nova Lake S 52C Int Product,Nova Lake S 52C Int Product,Nova Lake S 52C Int Product,Nova Lake S 52C Int Product
parentId,string,1000024661A,1000024661A,1000024661A,1000024661A,1000024661A,1000024661A,1000024661A,1000024661A
OSSEODCACRT_KeyTypeID,string,0,0,0,0,0,0,0,0
OSSEODCA_KEYTYPEID,string,4637,4637,4637,4637,4637,4637,4637,4637
OC_BINS,string,7,7,7,7,7,7,7,7
NUMBER_OF_SLICES,string,24,24,24,24,24,24,24,24
netWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
NATURAL_FLOAT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
MM-TRADEMARK,string,INTEL(R) CORE(TM) ULTRA 9,INTEL(R) CORE(TM) ULTRA 9,INTEL(R) CORE(TM) ULTRA 9,INTEL(R) CORE(TM) ULTRA 9,INTEL(R) CORE(TM) ULTRA 9,INTEL(R) CORE(TM) ULTRA 9,INTEL(R) CORE(TM) ULTRA 9,INTEL(R) CORE(TM) ULTRA 9
MM-SPEED-UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MM-SPEED-TYPE,string,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK
MM-SPEED,string,2,1.8,1.5,1.8,2,1.8,2,1.5
MM-SPEC-NUMBER,string,1BH,1BC,2FU,1BD,1BG,1BE,1BF,1BB
MM-SPEC-CODE,string,L,L,L,L,L,L,L,L
MM-SHIP-MED,string,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY
MM-ROYALTY,string,N,N,N,N,N,N,N,N
MM-REV,string,0,0,0,0,0,0,0,0
MM-PROD-VISIBILITY,string,H,H,H,H,H,H,H,H
MM-PROD-CAT-IC,string,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU
MM-PACKAGE-MKT-DESIGNATOR,string,AT,AT,AT,AT,AT,AT,AT,AT
MM-ITEM-MARKET-NAME,string,80777061B3,80777061B3,80777061B3,80777061B3,80777061B3,80777061B3,80777061B3,80777061B3
MM-INCORP,string,N,N,N,N,N,N,N,N
MM-CUSTOM-IND,string,N,N,N,N,N,N,N,N
MM-CUST-CUSTOMER,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MM-CPU-SLOT-TYPE,string,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954,LGA1954
MM-CACHE-UOM,string,MB,MB,MB,MB,MB,MB,MB,MB
MM-CACHE,string,60,60,72,66,60,66,60,72
MM-BRANDED,string,N,N,N,N,N,N,N,N
MLC_SIZE_PER_CORE_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB
