MAXIMUM_IA_SMALL_CORE_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAXIMUM_IA_SMALL_CORE_FREQ,string,0,0,0,0,0,0,0,0,0,0
MAXIMUM_IA_FREQUENCY_RATE,string,0,0,0,0,0,0,0,0,0,0
MAX_USB2_LANES,string,10,10,10,10,10,10,10,10,10,10
MAX_TURBO_FREQ_UOM_CD,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TURBO_FREQ_RTE,string,4.8,0,4.8,0,4.6,4.6,4.8,0,4.6,4.4
MAX_TRGT_SCKT_CD,string,1S,1S,1S,1S,1S,1S,1S,1S,1S,1S
MAX_THRD_PER_PCSR_CNT,string,12,20,12,20,12,12,12,20,12,10
MAX_THERMAL_TURBO_FREQUENCY,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,4.4
MAX_THERMAL_DESIGN_POWER_RATE,string,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_9CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_9CORE_FREQ_RATE,string,0,0,0,0,0,0,0,0,0,0
MAX_TEMP_TURBO_8CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_8CORE_FREQ_RATE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,0
MAX_TEMP_TURBO_7CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MAX_TEMP_TURBO_7CORE_FREQ_RATE,string,4.7,0,4.7,0,4.6,4.5,4.7,0,4.5,0
MAX_TEMP_TURBO_6CORE_FREQ_RATE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
