TOTAL_MLC_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
TOTAL_MLC,string,16,16,16,16,16,16,16,16,16,16,16,16,16,16
TOTAL_MEMORY_ENCRYPTION_IND,string,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS,MKTME_EN_16KEYS
TIME_COORD_COMP,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
THUNDERBOLT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
THUNDERBOLT_GEN,string,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5,TBT5
THERMAL_TURBO_TEMP_UOM,string,C,C,C,C,C,C,C,C,C,C,C,C,C,C
THERMAL_TURBO_TEMP,string,70,70,70,70,70,70,70,70,70,70,70,70,70,70
THERMAL_TURBO,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_THROTTLE_UNLOCK,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
THERMAL_DESIGN_POWER_UOM,string,W,W,W,W,W,W,W,W,W,W,W,W,W,W
THERMAL_DESIGN_POWER,string,25,25,25,25,25,25,25,25,25,25,25,25,25,25
TDX_INDICATOR,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
SUB_VERTICAL_SEGMENT,string,SEAM,SEAM,SEAM,SEAM,SEAM,SEAM,SEAM,SEAM,SEAM,SEAM,SEAM,SEAM,SEAM,SEAM
SPIRAL_KEYTYPEID,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMALL_CORE_SPEED,string,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
SMALL_CORE_MAX_TURBO_FREQ_RATE,string,3.4,3.2,3.6,3.4,3.2,3.4,3.7,3.6,3.4,3.2,3.4,3.4,3.4,3.4
SECONDARY_BIOS_REGION,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
RING_TFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_TFM_FREQ,string,4.3,4.3,4.3,4.3,4,4.3,4.3,4.3,4.3,4,4.3,4.3,4.3,4.3
RING_LFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_LFM_FREQ,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
RING_HFM_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
RING_HFM_FREQ,string,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
qdfSspec,string,L2NH,L2NM,L2NA,L2NE,L2NO,L2ND,L2N9,L2NB,L2NG,L2NN,L2NF,L2NK,L2NJ,L2NI
PS-STEP,string,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PS-PACKAGE-TECHNOLOGY,string,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X,FCBGA20X
PS_VERTICAL_SEGMENT,string,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL,MBL
PS_EXTERNAL_STEP,string,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PROTECT_AUDIO_VIDEO_PATH,string,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG,DEBUG
PROCESSOR_NUMBER,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PROCESSOR_LP_ECORE_PHYS_QTY,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
PROCESSOR_LP_ECORE_FUNC_QTY,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
primaryContact,string,10710833,10710833,10710833,10710833,10710833,10710833,10710833,10710833,10710833,10710833,10710833,10710833,10710833,10710833
PLATFORM_ID,string,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7
PHYSICAL_SMALL_CORE,string,8,8,8,8,8,8,8,8,8,8,8,8,8,8
PHYSICAL_CORE,string,16,16,16,16,16,16,16,16,16,16,16,16,16,16
PHYSICAL_BIG_CORE,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
PEG_SPD_UNLOCK_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
PD_INDEX,string,5,8,5,5,D,5,5,5,5,8,5,D,5,5
PCSR_BASE_CD,string,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777,80777
PCH_LPC_DID,string,D301,D301,D301,D301,D301,D301,D301,D301,D301,D301,D301,D301,D301,D301
PCD_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
PCD_DIE_CONFIG,string,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H,NVL_PCD_H
parentId_Desc,string,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product,Nova Lake P Product
parentId,string,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A,1000024610A
OSSEODCACRT_KeyTypeID,string,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625
OSSEODCA_KEYTYPEID,string,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625
OC_BINS,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUMBER_OF_SLICES,string,6,6,6,6,4,6,6,6,6,6,6,4,6,6
netWeight,string,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
NATURAL_FLOAT_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
MM-TRADEMARK,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MM-SPEED-UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
MM-SPEED-TYPE,string,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK,CLOCK
MM-SPEED,string,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
MM-SPEC-NUMBER,string,2NH,2NM,2NA,2NE,2NO,2ND,2N9,2NB,2NG,2NN,2NF,2NK,2NJ,2NI
MM-SPEC-CODE,string,L,L,L,L,L,L,L,L,L,L,L,L,L,L
MM-SHIP-MED,string,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY,TRAY
MM-ROYALTY,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MM-REV,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM-PROD-VISIBILITY,string,H,H,H,H,H,H,H,H,H,H,H,H,H,H
MM-PROD-CAT-IC,string,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU,64BIT MPU
MM-PACKAGE-MKT-DESIGNATOR,string,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC
MM-ITEM-MARKET-NAME,string,807770625C,807770625C,807770625C,807770625C,807770625C,807770625C,807770625C,807770625C,807770625C,807770625C,807770625C,807770625C,807770625C,807770625C
MM-INCORP,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MM-CUSTOM-IND,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MM-CUST-CUSTOMER,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM-CPU-SLOT-TYPE,string,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481,BGA2481
MM-CACHE-UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MM-CACHE,string,18,18,18,18,12,18,18,18,18,18,18,12,18,18
MM-BRANDED,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MLC_SIZE_PER_CORE_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CORE,string,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MLC_SIZE_PER_CLUSTER_UOM,string,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB,MB
MLC_SIZE_PER_CLUSTER,string,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MIPI_DSI_SUPPORT,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
MINIMUM_IA_SMALL_CORE_FREQ,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
MINIMUM_IA_FREQUENCY_RATE,string,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MIN_THERMAL_DESIGN_POWER_RATE,string,15,15,15,15,15,15,15,15,15,15,15,15,15,15
MIN_IA_FREQ_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
