Group,Entity,UV_01,UV_02,UV_03,DIFF,UV_01_line,UV_02_line,UV_03_line,Symbolized,UV_01_symbols,UV_02_symbols,UV_03_symbols,OV_07,OV_08,OV_09,OV_07_line,OV_08_line,OV_09_line,OV_07_symbols,OV_08_symbols,OV_09_symbols,UV_01_CPU1,UV_02_CPU1,UV_03_CPU1,UV_01_CPU1_line,UV_02_CPU1_line,UV_03_CPU1_line,UV_01_CPU1_symbols,UV_02_CPU1_symbols,UV_03_CPU1_symbols,OV_07_CPU1,OV_08_CPU1,OV_09_CPU1,OV_07_CPU1_line,OV_08_CPU1_line,OV_09_CPU1_line,OV_07_CPU1_symbols,OV_08_CPU1_symbols,OV_09_CPU1_symbols
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.TimingsTc,,BASE::pkg_cpu_fun_timing_mts100_tstprtclk50_tck100,,PARTIAL,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.ConfigName,,VLDReadFlow,,PARTIAL,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.ConfigurationFile,,"__shared__::TpRule.If_CLASS_NVL_S52C(""./InputFiles/VLD_C2X.fuseread.json"",""./InputFiles/VLD_C1X.fuseread.json"")",,PARTIAL,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.FailingMaskName,,"Short_VLD,Open_VLD",,PARTIAL,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.FuseGroupToDatalog,,,,OK,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.PassingMaskName,,Undervolt_VLD,,PARTIAL,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.RegisterName,,"__shared__::TpRule.If_CLASS_NVL_S52C(""CPU0_VLD,CPU1_VLD"",""CPU0_VLD"")",,PARTIAL,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_02.param.VoltageFile,,./InputFiles/VLD_UV.fuseReadVoltageFile.json,,PARTIAL,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE02,,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE02,,PARTIAL,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE02.edc,,KILL,,PARTIAL,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE02.connectivity.R-2,,Return -2,,PARTIAL,,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE02.connectivity.R-1,,Return -1,,PARTIAL,,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE02.connectivity.R0,,Return 0,,PARTIAL,,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE02.connectivity.R1,,Return 1,,PARTIAL,,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_X_K_BEGINCPUPKG_X_X_X_X_VLD_SETSHAREDSTORAGE02.param.Path,,./InputFiles/VLD_SharedStorage_02.json,,PARTIAL,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_03_UV,,,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_03_UV,PARTIAL,,,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_03_UV.edc,,,KILL,PARTIAL,,,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_03_UV.connectivity.R-2,,,Return -2,PARTIAL,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_03_UV.connectivity.R-1,,,Return -1,PARTIAL,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_03_UV.connectivity.R0,,,Return 0,PARTIAL,,,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0,FUSE_X_FUSECONFIG_K_BEGINCPUPKG_X_X_X_X_VLD_03_UV.connectivity.R1,,,GoTo FUSE_X_FUSEREAD_K_BEGINCPUPKG_X_X_X_X_VLD_UV_03,PARTIAL,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
