LevelsName,Pin,iForce,PreMeasDelay,VClampHi,VClampLo,SequenceBreak,LoLimit (HOT),HiLimit (HOT),LoLimit (COLD),HiLimit (COLD),HX28C_HVM_LoHot,HX28C_HVM_HiHot,HX28C_HVM_LoCold,HX28C_HVM_HiCold,P16C_HVM_LoHot,P16C_HVM_HiHot,P16C_HVM_LoCold,P16C_HVM_HiCold,H16C_HVM_LoHot,H16C_HVM_HiHot,H16C_HVM_LoCold,H16C_HVM_HiCold,U8C_HVM_LoHot,U8C_HVM_HiHot,U8C_HVM_LoCold,U8C_HVM_HiCold,HX28C_FC_LoHot,HX28C_FC_HiHot,HX28C_FC_LoCold,HX28C_FC_HiCold,P16C_FC_LoHot,P16C_FC_HiHot,P16C_FC_LoCold,P16C_FC_HiCold,H16C_FC_LoHot,H16C_FC_HiHot,H16C_FC_LoCold,H16C_FC_HiCold,U8C_FC_LoHot,U8C_FC_HiHot,U8C_FC_LoCold,U8C_FC_HiCold,Comment,Comment2,Comment3
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_22,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4154V,-0.2729V,-0.576272776426218V,-0.202053940500699V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_23,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4154V,-0.2729V,-0.576272776426218V,-0.202053940500699V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_24,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4042V,-0.2768V,-0.575708239948913V,-0.203199221139327V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_25,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4049V,-0.2817V,-0.56981589825593V,-0.213263305906157V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_26,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3864V,-0.2772V,-0.57377354477781V,-0.189585552982672V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_27,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3864V,-0.2772V,-0.57377354477781V,-0.189585552982672V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_28,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.4081V,-0.2911V,-0.502162069854894V,-0.266368040679687V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config5_shops_lower_univ_x_x_pkg_level,PCD_TMUX_29,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3986V,-0.2964V,-0.499172026775769V,-0.270630055379586V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config6_shops_lower_univ_x_x_pkg_level,PCD_TMUX_00,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3923V,-0.1697V,-0.65946099383281V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
tmux_config6_shops_lower_univ_x_x_pkg_level,PCD_TMUX_01,-0.001A,1ms,2V,-1.5V,0.1ms,-1.41V,-0.1V,-1.41V,-0.1V,-0.3923V,-0.1697V,-0.65946099383281V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,x,x,x,x,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,-1.41V,-0.1V,,,
